,expected_y,predicted_y
6,Iris-setosa,Iris-setosa
3,Iris-setosa,Iris-setosa
113,Iris-virginica,Iris-virginica
12,Iris-setosa,Iris-setosa
24,Iris-setosa,Iris-setosa
129,Iris-virginica,Iris-virginica
25,Iris-setosa,Iris-setosa
108,Iris-virginica,Iris-virginica
128,Iris-virginica,Iris-virginica
45,Iris-setosa,Iris-setosa
48,Iris-setosa,Iris-setosa
42,Iris-setosa,Iris-setosa
35,Iris-setosa,Iris-setosa
5,Iris-setosa,Iris-setosa
85,Iris-versicolor,Iris-versicolor
54,Iris-versicolor,Iris-versicolor
41,Iris-setosa,Iris-setosa
96,Iris-versicolor,Iris-versicolor
144,Iris-virginica,Iris-virginica
89,Iris-versicolor,Iris-versicolor
77,Iris-versicolor,Iris-virginica
74,Iris-versicolor,Iris-versicolor
115,Iris-virginica,Iris-virginica
94,Iris-versicolor,Iris-versicolor
87,Iris-versicolor,Iris-versicolor
29,Iris-setosa,Iris-setosa
2,Iris-setosa,Iris-setosa
127,Iris-virginica,Iris-virginica
44,Iris-setosa,Iris-setosa
125,Iris-virginica,Iris-virginica
126,Iris-virginica,Iris-virginica
23,Iris-setosa,Iris-setosa
64,Iris-versicolor,Iris-versicolor
117,Iris-virginica,Iris-virginica
84,Iris-versicolor,Iris-versicolor
14,Iris-setosa,Iris-setosa
132,Iris-virginica,Iris-virginica
91,Iris-versicolor,Iris-versicolor
53,Iris-versicolor,Iris-versicolor
141,Iris-virginica,Iris-virginica
78,Iris-versicolor,Iris-versicolor
97,Iris-versicolor,Iris-versicolor
143,Iris-virginica,Iris-virginica
93,Iris-versicolor,Iris-versicolor
11,Iris-setosa,Iris-setosa
